track,raw_feature,model_feature,stage,decision
LAB_AWARE,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C)__missing,T1_vital,pre_lab
LAB_AWARE,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),T1_vital,pre_lab
LAB_AWARE,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR)__missing,T1_vital,pre_lab
LAB_AWARE,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,T1_vital,pre_lab
LAB_AWARE,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis__missing,T1_vital,pre_lab
LAB_AWARE,Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),bp_systolic,T1_vital,pre_lab
LAB_AWARE,Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),bp_diastolic,T1_vital,pre_lab
LAB_AWARE,Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),bp_parse_failed,T1_vital,pre_lab
LAB_AWARE,Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),bp__missing,T1_vital,pre_lab
LAB_AWARE,Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),T1_vital,pre_lab
LAB_AWARE,Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),T0_intake,pre_lab
LAB_AWARE,Hypoglycémie (Hypoglycemia),Hypoglycémie (Hypoglycemia),T0_intake,pre_lab
LAB_AWARE,Diabète,Diabète,T0_intake,pre_lab
LAB_AWARE,Hypertension artérielle,Hypertension artérielle,T0_intake,pre_lab
LAB_AWARE,Drépanocytose,Drépanocytose,T0_intake,pre_lab
LAB_AWARE,Arthrose,Arthrose,T0_intake,pre_lab
LAB_AWARE,Asthme (Astma),Asthme (Astma),T0_intake,pre_lab
LAB_AWARE,Pneumonie (Pneumonia),Pneumonie (Pneumonia),T0_intake,pre_lab
LAB_AWARE,Dengue dans le menage (Household Dengue),Dengue dans le menage (Household Dengue),T0_intake,pre_lab
LAB_AWARE,Test TDR,Test TDR,T2_lab,lab_aware
LAB_AWARE,Test TDR,Test TDR__missing,T2_lab,lab_aware
