label,feature,importance_mean,importance_std
other_diseases,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C)__missing,0.0,0.0
other_diseases,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),0.0,0.0
other_diseases,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR)__missing,0.0,0.0
other_diseases,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,0.0,0.0
other_diseases,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis__missing,0.0,0.0
other_diseases,bp_systolic,0.0,0.0
other_diseases,bp_diastolic,0.0,0.0
other_diseases,bp_parse_failed,0.0,0.0
other_diseases,bp__missing,0.0,0.0
other_diseases,Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),0.0,0.0
other_diseases,Hypoglycémie (Hypoglycemia),0.0,0.0
other_diseases,Diabète,0.0,0.0
other_diseases,Arthrose,0.0,0.0
other_diseases,Asthme (Astma),0.0,0.0
other_diseases,Dengue dans le menage (Household Dengue),0.0,0.0
other_diseases,Douleur Thoracique (Chaist pain),-1e-05,0.00044
other_diseases,Convulsions généralisées ou focales (Generalised or focal convulsion),-1e-05,0.00044
other_diseases,Prostration,-0.00012,0.00081
other_diseases,Sensation de frissons ou de froid (Shiver or cold sensation),-0.0004,0.00049
other_diseases,Oligurie (Oliguria),-0.00043,0.00101
other_diseases,Pneumonie (Pneumonia),-0.00051,0.00066
other_diseases,Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),-0.0006,0.00049
other_diseases,Type de fièvre (Type of Fever),-0.00071,0.00046
other_diseases,Détresse respiratoire (Respiratory distress),-0.00071,0.00046
other_diseases,Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),-0.00071,0.00046
other_diseases,Douleur articulaire (Joint pain),-0.00072,0.00081
other_diseases,Douleur musculaire ( Muscle pain),-0.00076,0.00138
other_diseases,Douleur abdominale (stomac pain),-0.00091,0.0003
typhoid,Douleur abdominale (stomac pain),0.08164,0.04056
typhoid,Diabète,0.0708,0.00126
typhoid,Vertige (Dizzy),0.05827,0.04494
typhoid,Perte d'appétit ou Anorexie (Loss of appetite or Anorexia),0.05745,0.03278
typhoid,Âge (Age),0.04344,0.03703
typhoid,Somnolence ou léthargie  (Drowsiness or lethargy),0.03999,0.05515
typhoid,Céphalée (Headache),0.0395,0.04661
typhoid,Type de fièvre (Type of Fever),0.03506,0.04749
typhoid,autres_maladies_pr_sent_es_par_le_patien__present,0.03402,0.05797
typhoid,Convulsions multiples (Multiple convulsions),0.0325,0.0492
typhoid,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,0.03243,0.0497
typhoid,Troubles de la conscience (Consciousness trouble),0.0296,0.04698
typhoid,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C)__missing,0.02874,0.04847
typhoid,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR)__missing,0.02475,0.05222
typhoid,Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),0.02362,0.06499
typhoid,Convulsions généralisées ou focales (Generalised or focal convulsion),0.02186,0.03253
typhoid,Fièvre au cours des 7 derniers jours (Fever in the last 7 days),0.02026,0.04445
typhoid,"Haute température.(temperature, Hyperpyrexia)",0.01878,0.04102
typhoid,bp__missing,0.01569,0.03274
typhoid,Fièvre depuis 48 heures(Fever 48 hrs),0.01551,0.02979
typhoid,Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),0.01316,0.02156
typhoid,center_code,0.01057,0.05533
typhoid,Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis__missing,0.00864,0.021
typhoid,Maux de tête (headache),0.00471,0.02236
typhoid,Test de garrot positif (Positive tourniquet test),0.004,0.02079
typhoid,Prostration,0.00306,0.00315
typhoid,Vomissement (Vomiting),0.00247,0.00178
typhoid,Détresse respiratoire (Respiratory distress),0.00148,0.0027
typhoid,Douleur Thoracique (Chaist pain),0.0006,0.0018
typhoid,Nausée (Nausea),0.00035,0.00034
typhoid,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),0.00034,0.00475
typhoid,Oligurie (Oliguria),0.00031,0.00116
typhoid,Circonference du bras (Mua circumference),0.00025,0.00213
typhoid,Pneumonie (Pneumonia),0.00025,0.00213
typhoid,Perte de poids (Loss of Weight),3e-05,9e-05
typhoid,Diarrhée  (Diarrhea),3e-05,9e-05
typhoid,Poids (Weight),0.0,0.00026
typhoid,Gonflement des articulations (Joint Swelling),0.0,0.0
typhoid,Éruptions cutanées ou Exanthème (Skin rash or Exanthema),0.0,0.0
typhoid,Éruption morbilliforme (Morbilliform rash),0.0,0.0
typhoid,Saignement/ Manifestations hémorragiques (Bleeding),0.0,0.0
typhoid,Rhinorrhée (Rhinorrhea),0.0,0.0
typhoid,Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),0.0,0.0
typhoid,Mal de gorge (throat pain),0.0,0.0
typhoid,Mictions fréquentes.(Frequent Urination),0.0,0.0
typhoid,Constipation,0.0,0.0
typhoid,Mictions fréquentes. (Frequent Urination),0.0,0.0
typhoid,Ictère (Icterus),0.0,0.0
typhoid,Epistaxis ((Bleeding nose),0.0,0.0
typhoid,Délire,0.0,0.0
typhoid,Confusion/ niveau de conscience altéré (impaired level of consciousness),0.0,0.0
typhoid,Gonflement du visage (Facial Swelling),0.0,0.0
typhoid,Délire /Discours irrationnel (Delirium/ Irrational Talking),0.0,0.0
typhoid,Hémoglobinurie (Hemoglobinuria),0.0,0.0
typhoid,Goût amer dans la gorge (Bitter taste in your Throat),0.0,0.0
typhoid,Raideur (Stiffness),0.0,0.0
typhoid,Choc septique (Shock),0.0,0.0
typhoid,Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),0.0,0.0
typhoid,Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),0.0,0.0
typhoid,Choc septique (Septicemia),0.0,0.0
typhoid,Syndrome d'icterus subaigu (Sub-icterus),0.0,0.0
typhoid,Lymphadénopathie / Lymphadenopa thy,0.0,0.0
typhoid,bp_parse_failed,0.0,0.0
typhoid,Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),0.0,0.0
typhoid,Hypoglycémie (Hypoglycemia),0.0,0.0
typhoid,Drépanocytose,0.0,0.0
typhoid,Arthrose,0.0,0.0
typhoid,Asthme (Astma),0.0,0.0
typhoid,Dengue dans le menage (Household Dengue),0.0,0.0
typhoid,Splénomégalie modérée,-0.00019,0.00107
typhoid,gender_female,-0.0003,0.00499
typhoid,Poids (Weight)__missing,-0.00036,0.00023
typhoid,bp_systolic,-0.00065,0.00122
typhoid,Douleur musculaire ( Muscle pain),-0.00135,0.00245
typhoid,Hypertension artérielle,-0.00249,0.00371
typhoid,bp_diastolic,-0.00254,0.00124
typhoid,Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),-0.00486,0.00431
typhoid,Douleur articulaire (Joint pain),-0.00599,0.00718
typhoid,Sensation de frissons ou de froid (Shiver or cold sensation),-0.01092,0.00555
typhoid,Hépatomégalie (Hepatomegaly),-0.01292,0.04081
typhoid,Douleur rétro-orbitrale (Retro-orbital pain),-0.05743,0.01908
typhoid,Toux (Cough),-0.08013,0.06594
yellow_fever,Toux (Cough),0.07225,0.02804
yellow_fever,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C)__missing,0.06456,0.07201
yellow_fever,autres_maladies_pr_sent_es_par_le_patien__present,0.03102,0.07289
yellow_fever,Douleur articulaire (Joint pain),0.00545,0.09241
yellow_fever,Convulsions généralisées ou focales (Generalised or focal convulsion),0.00206,0.02039
yellow_fever,Troubles de la conscience (Consciousness trouble),0.0018,0.07497
yellow_fever,Douleur Thoracique (Chaist pain),0.00074,0.01566
yellow_fever,Douleur rétro-orbitrale (Retro-orbital pain),0.00031,0.00062
yellow_fever,Diarrhée  (Diarrhea),0.00015,0.00046
yellow_fever,Perte de poids (Loss of Weight),0.0,0.0
yellow_fever,Gonflement des articulations (Joint Swelling),0.0,0.0
yellow_fever,Éruptions cutanées ou Exanthème (Skin rash or Exanthema),0.0,0.0
yellow_fever,Éruption morbilliforme (Morbilliform rash),0.0,0.0
yellow_fever,Saignement/ Manifestations hémorragiques (Bleeding),0.0,0.0
yellow_fever,Rhinorrhée (Rhinorrhea),0.0,0.0
yellow_fever,Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),0.0,0.0
yellow_fever,Mal de gorge (throat pain),0.0,0.0
yellow_fever,Mictions fréquentes.(Frequent Urination),0.0,0.0
yellow_fever,Constipation,0.0,0.0
yellow_fever,Ictère (Icterus),0.0,0.0
yellow_fever,Epistaxis ((Bleeding nose),0.0,0.0
yellow_fever,Délire,0.0,0.0
yellow_fever,Confusion/ niveau de conscience altéré (impaired level of consciousness),0.0,0.0
yellow_fever,Gonflement du visage (Facial Swelling),0.0,0.0
yellow_fever,Délire /Discours irrationnel (Delirium/ Irrational Talking),0.0,0.0
yellow_fever,Hémoglobinurie (Hemoglobinuria),0.0,0.0
yellow_fever,Goût amer dans la gorge (Bitter taste in your Throat),0.0,0.0
